Vehicle Name,CellDx,Sports Car,SUV,Wagon,Minivan,Pickup,AWD,RWD,Retail Price,Dealer Cost,EngineSize,Weight,Width
Porsche 911 GT2 2dr,0,1,0,0,0,0,0,1,192465,173560,3.6,3131,72
Porsche 911 Targa coupe 2dr,0,1,0,0,0,0,0,1,76765,67128,3.6,3119,70
Porsche Boxster convertible 2dr,0,1,0,0,0,0,0,1,43365,37886,2.7,2811,70
Porsche Boxster S convertible 2dr,0,1,0,0,0,0,0,1,52365,45766,3.2,2911,70
Porsche Cayenne S,0,0,1,0,0,0,1,0,56665,49865,4.5,4950,76
Saab 9-3 Aero 4dr,1,0,0,0,0,0,0,0,33360,31562,2,3175,69
Saab 9-3 Aero convertible 2dr,1,0,0,0,0,0,0,0,43175,40883,2,3700,69
Saab 9-3 Arc convertible 2dr,1,0,0,0,0,0,0,0,40670,38520,2,3480,69
Saab 9-3 Arc Sport 4dr,1,0,0,0,0,0,0,0,30860,29269,2,3175,69
Saab 9-5 Aero,0,0,0,1,0,0,0,0,40845,38376,2.3,3620,71
Saab 9-5 Aero 4dr,1,0,0,0,0,0,0,0,39465,37721,2.3,3470,71
Saab 9-5 Arc 4dr,1,0,0,0,0,0,0,0,35105,33011,2.3,3470,71
Saturn Ion1 4dr,1,0,0,0,0,0,0,0,10995,10319,2.2,2692,67
Saturn L300 2,0,0,0,1,0,0,0,0,23560,21779,2.2,3109,69
Saturn L300-2 4dr,1,0,0,0,0,0,0,0,21410,19801,3,3197,69
Saturn lon2 4dr,1,0,0,0,0,0,0,0,14300,13393,2.2,2692,67
Saturn lon2 quad coupe 2dr,1,0,0,0,0,0,0,0,14850,13904,2.2,2751,68
Saturn lon3 4dr,1,0,0,0,0,0,0,0,15825,14811,2.2,2692,67
Saturn lon3 quad coupe 2dr,1,0,0,0,0,0,0,0,16350,15299,2.2,2751,68
Saturn VUE,0,0,1,0,0,0,1,0,20585,19238,2.2,3381,72
Scion xA 4dr hatch,1,0,0,0,0,0,0,0,12965,12340,1.5,2340,67
Scion xB,0,0,0,1,0,0,0,0,14165,13480,1.5,2425,67
Subaru Baja,0,0,0,0,0,1,1,0,24520,22304,2.5,3485,70
Subaru Forester X,0,0,0,1,0,0,1,0,21445,19646,2.5,3090,68
Subaru Impreza 2.5 RS 4dr,1,0,0,0,0,0,1,0,19945,18399,2.5,2965,69
Subaru Impreza WRX 4dr,0,1,0,0,0,0,1,0,25045,23022,2,3085,69
Subaru Impreza WRX STi 4dr,0,1,0,0,0,0,1,0,31545,29130,2.5,3263,69
Subaru Legacy GT 4dr,1,0,0,0,0,0,1,0,25645,23336,2.5,3395,69
Subaru Legacy L 4dr,1,0,0,0,0,0,1,0,20445,18713,2.5,3285,69
Subaru Outback,0,0,0,1,0,0,1,0,23895,21773,2.5,3430,69
Subaru Outback H6 4dr,1,0,0,0,0,0,1,0,29345,26660,3,3610,69
Subaru Outback H-6 VDC 4dr,1,0,0,0,0,0,1,0,31545,28603,3,3630,69
Subaru Outback Limited Sedan 4dr,1,0,0,0,0,0,1,0,27145,24687,2.5,3495,69
Suzuki Aeno S 4dr,1,0,0,0,0,0,0,0,12884,12719,2.3,2676,68
Suzuki Aerio LX 4dr,1,0,0,0,0,0,0,0,14500,14317,2.3,2676,68
Suzuki Aerio SX,0,0,0,1,0,0,1,0,16497,16291,2.3,2932,68
Suzuki Forenza EX 4dr,1,0,0,0,0,0,0,0,15568,15378,2,2756,68
Suzuki Forenza S 4dr,1,0,0,0,0,0,0,0,12269,12116,2,2701,68
Suzuki Verona LX 4dr,1,0,0,0,0,0,0,0,17262,17053,2.5,3380,72
Suzuki Vitara LX,0,0,1,0,0,0,1,0,17163,16949,2.5,3020,67
Suzuki XL-7 EX,0,0,1,0,0,0,0,0,23699,22307,2.7,3682,70
Toyota 4Runner SR5 V6,0,0,1,0,0,0,0,0,27710,24801,4,4035,74
Toyota Avalon XL 4dr,1,0,0,0,0,0,0,0,26560,23693,3,3417,72
Toyota Avalon XLS 4dr,1,0,0,0,0,0,0,0,30920,27271,3,3439,72
Toyota Camry LE 4dr,1,0,0,0,0,0,0,0,19560,17558,2.4,3086,71
Toyota Camry LE V6 4dr,1,0,0,0,0,0,0,0,22775,20325,3,3296,71
Toyota Camry Solara SE 2dr,1,0,0,0,0,0,0,0,19635,17722,2.4,3175,72
Toyota Camry Solara SE V6 2dr,1,0,0,0,0,0,0,0,21965,19819,3.3,3417,72
Toyota Camry Solara SLE V6 2dr,1,0,0,0,0,0,0,0,26510,23908,3.3,3439,72
Toyota Camry XLE V6 4dr,1,0,0,0,0,0,0,0,25920,23125,3,3362,71
Toyota Celica GT-S 2dr,0,1,0,0,0,0,0,0,22570,20363,1.8,2500,68
Toyota Corolla CE 4dr,1,0,0,0,0,0,0,0,14085,13065,1.8,2502,67
Toyota Corolla LE 4dr,1,0,0,0,0,0,0,0,15295,13889,1.8,2524,67
Toyota Corolla S 4dr,1,0,0,0,0,0,0,0,15030,13650,1.8,2524,67
Toyota Echo 2dr auto,1,0,0,0,0,0,0,0,11560,10896,1.5,2085,65
Toyota Echo 2dr manual,1,0,0,0,0,0,0,0,10760,10144,1.5,2035,65
Toyota Echo 4dr,1,0,0,0,0,0,0,0,11290,10642,1.5,2055,65
Toyota Highlander V6,0,0,1,0,0,0,1,0,27930,24915,3.3,3935,72
Toyota Land Cruiser,0,0,1,0,0,0,1,0,54765,47986,4.7,5390,76
Toyota Matrix XR,0,0,0,1,0,0,0,0,16695,15156,1.8,2679,70
Toyota MR2 Spyder convertible 2dr,0,1,0,0,0,0,0,1,25130,22787,1.8,2195,67
Toyota Prius 4dr (gas/electric),1,0,0,0,0,0,0,0,20510,18926,1.5,2890,68
Toyota RAV4,0,0,1,0,0,0,1,0,20290,18553,2.4,3119,68
Toyota Sequoia SR5,0,0,1,0,0,0,1,0,35695,31827,4.7,5270,78
Toyota Sienna CE,0,0,0,0,1,0,0,0,23495,21198,3.3,4120,77
Toyota Sienna XLE Limited,0,0,0,0,1,0,0,0,28800,25690,3.3,4165,77
Toyota Tacoma,0,0,0,0,0,1,0,1,12800,11879,2.4,2750,80
Toyota Tundra Access Cab V6 SR5,0,0,0,0,0,1,1,0,25935,23520,3.4,4435,80
Toyota Tundra Regular Cab V6,0,0,0,0,0,1,0,1,16495,14978,3.4,3925,80
Volkswagen Golf GLS 4dr,1,0,0,0,0,0,0,0,18715,17478,2,2897,68
Volkswagen GTI 1.8T 2dr hatch,1,0,0,0,0,0,0,0,19825,18109,1.8,2934,68
Volkswagen Jetta GL,0,0,0,1,0,0,0,0,19005,17427,2,3034,68
Volkswagen Jetta GLI VR6 4dr,1,0,0,0,0,0,0,0,23785,21686,2.8,3179,68
Volkswagen Jetta GLS TDI 4dr,1,0,0,0,0,0,0,0,21055,19638,1.9,3003,68
Volkswagen New Beetle GLS 1.8T 2dr,1,0,0,0,0,0,0,0,21055,19638,1.8,2820,68
Volkswagen New Beetle GLS convertible 2dr,1,0,0,0,0,0,0,0,23215,21689,2,3082,68
Volkswagen Passat GLS 1.8T,0,0,0,1,0,0,0,0,24955,22801,1.8,3338,69
Volkswagen Passat GLS 4dr,1,0,0,0,0,0,0,0,23955,21898,1.8,3241,69
Volkswagen Passat GLX V6 4MOTION 4dr,1,0,0,0,0,0,0,0,33180,30583,2.8,3721,69
Volkswagen Passat W8,0,0,0,1,0,0,0,0,40235,36956,4,4067,69
Volkswagen Passat W8 4MOTION 4dr,1,0,0,0,0,0,0,0,39235,36052,4,3953,69
Volkswagen Phaeton 4dr,1,0,0,0,0,0,0,0,65000,59912,4.2,5194,75
Volkswagen Phaeton W12 4dr,1,0,0,0,0,0,0,0,75000,69130,6,5399,75
Volkswagen Touareg V6,0,0,1,0,0,0,1,0,35515,32243,3.2,5086,76
Volvo C70 HPT convertible 2dr,1,0,0,0,0,0,0,0,42565,40083,2.3,3450,72
Volvo C70 LPT convertible 2dr,1,0,0,0,0,0,0,0,40565,38203,2.4,3450,72
Volvo S40 4dr,1,0,0,0,0,0,0,0,25135,23701,1.9,2767,68
Volvo S60 2.5 4dr,1,0,0,0,0,0,1,0,31745,29916,2.5,3903,71
Volvo S60 R 4dr,1,0,0,0,0,0,1,0,37560,35382,2.5,3571,71
Volvo S60 T5 4dr,1,0,0,0,0,0,0,0,34845,32902,2.3,3766,71
Volvo S80 2.5T 4dr,1,0,0,0,0,0,1,0,37885,35688,2.5,3691,72
Volvo S80 2.9 4dr,1,0,0,0,0,0,0,0,37730,35542,2.9,3576,72
Volvo S80 T6 4dr,1,0,0,0,0,0,0,0,45210,42573,2.9,3653,72
Volvo V40,0,0,0,1,0,0,0,0,26135,24641,1.9,2822,68
Volvo XC70,0,0,0,1,0,0,1,0,35145,33112,2.5,3823,73
Volvo XC90 T6,0,0,1,0,0,0,1,0,41250,38851,2.9,4638,75
